------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
59          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 4.306250000000000e+01 -1.857830061744681e-01 -6.896297205927048e-01  1.991836908699197e-01  5.281708111762068e+00  6.611683396061132e+00       10
 4.564625000000000e+01 -1.760078503336587e-01 -6.986323019100915e-01  2.198975931651752e-01  4.854060001062784e+00  6.454712440453464e+00       11
 4.823000000000000e+01 -1.658649814014541e-01 -7.087080460248334e-01  2.393736738513859e-01  4.431133359403535e+00  6.294941490627647e+00       11
 5.081375000000001e+01 -1.543297709380713e-01 -7.228473091369640e-01  2.541627567809381e-01  4.026084507756254e+00  6.124568393833938e+00       12
 5.339750000000001e+01 -1.425396780827342e-01 -7.369273973623289e-01  2.632693904379397e-01  3.627474668016973e+00  5.951252341068262e+00       12
 5.598125000000000e+01 -1.303026273180133e-01 -7.509037174008288e-01  2.624113669541867e-01  3.240156182218749e+00  5.772775565199849e+00       13
 5.856500000000000e+01 -1.185026400604467e-01 -7.630998771241476e-01  2.438253103798228e-01  2.851469487997757e+00  5.592534970311931e+00       13
 6.114875000000001e+01 -1.071102731142288e-01 -7.736357987126258e-01  2.087054864016189e-01  2.461506756006169e+00  5.410649377738038e+00       14
 6.373250000000001e+01 -9.907755927026737e-02 -7.806402384642829e-01  1.591320980314537e-01  2.057334377048177e+00  5.229235175366122e+00       14
 6.631625000000001e+01 -9.268668565059773e-02 -7.859188664268734e-01  1.024953484508187e-01  1.646217837710424e+00  5.048051338264487e+00       15
 6.890000000000001e+01 -8.995219676792549e-02 -7.860698279491388e-01  1.094256955441900e-02  1.219054380957704e+00  4.869427123045575e+00       15
 7.148375000000001e+01 -8.798749679584235e-02 -7.851412475066265e-01 -8.796117870171913e-02  7.885125217764312e-01  4.691341792184394e+00       16
 7.406750000000001e+01 -9.782496832638118e-02 -7.782454398527373e-01 -2.498301451996459e-01  3.516456477258698e-01  4.518777711537122e+00       17
 7.665125000000000e+01 -1.099378429522754e-01 -7.705021723016174e-01 -4.194677465127041e-01 -8.532601732351452e-02  4.347410401068991e+00       17
 7.923500000000000e+01 -1.351234792317449e-01 -7.580901829238432e-01 -6.308509157277165e-01 -5.221634355145387e-01  4.183006228174269e+00       18
 8.181875000000001e+01 -1.661218754036715e-01 -7.442944171103714e-01 -8.602289796578320e-01 -9.582379949019053e-01  4.021152180606970e+00       18
 8.440250000000002e+01 -2.113732953236284e-01 -7.271055989835641e-01 -1.133730947974655e+00 -1.392442006589707e+00  3.865551100223029e+00       19
 8.698625000000001e+01 -2.679343241713867e-01 -7.082141292149997e-01 -1.437011629890630e+00 -1.821666540171230e+00  3.714227359107046e+00       19
 8.957000000000001e+01 -3.386279697642192e-01 -6.871950064694899e-01 -1.777504133112260e+00 -2.244668660925241e+00  3.568248630090827e+00       20
 9.215375000000000e+01 -4.280244360965149e-01 -6.645062163860157e-01 -2.161108809758871e+00 -2.657884732911052e+00  3.428302494366299e+00       20
 9.473750000000001e+01 -5.299102747770756e-01 -6.407024556052296e-01 -2.573502939833298e+00 -3.064565875829913e+00  3.292384804665773e+00       21
 9.732125000000002e+01 -6.600043155004025e-01 -6.154698727520336e-01 -3.043855713166541e+00 -3.456174976621377e+00  3.164134979368926e+00       21
 9.990500000000002e+01 -7.992516583893088e-01 -5.897736502755185e-01 -3.533015533260530e+00 -3.842893338342151e+00  3.038373305558840e+00       22
